000.00;608859.09;000000.00;006417.41
000.84;608250.23;000608.86;006406.88
001.68;607641.37;001217.72;006396.36
002.52;607032.51;001826.58;006385.86
003.36;606423.65;002435.44;006375.37
004.20;605814.79;003044.30;006364.90
005.04;605205.93;003653.15;006354.43
005.88;604597.07;004262.01;006343.99
006.72;603988.22;004870.87;006333.55
007.56;603379.36;005479.73;006323.13
008.40;602770.50;006088.59;006312.72
009.24;602161.64;006697.45;006302.33
010.08;601552.78;007306.31;006291.94
010.92;600943.92;007915.17;006281.57
011.76;600335.06;008524.03;006271.22
012.60;599726.20;009132.89;006260.88
013.44;599117.34;009741.75;006250.55
014.28;598508.48;010350.60;006240.23
015.12;597899.63;010959.46;006229.93
015.96;597290.77;011568.32;006219.64
016.80;596681.91;012177.18;006209.36
017.64;596073.05;012786.04;006199.10
018.48;595464.19;013394.90;006188.85
019.32;594855.33;014003.76;006178.61
020.16;594246.47;014612.62;006168.38
021.00;593637.61;015221.48;006158.17
021.84;593028.75;015830.34;006147.97
022.68;592419.89;016439.20;006137.79
023.52;591811.03;017048.05;006127.61
024.36;591202.18;017656.91;006117.45
025.20;590593.32;018265.77;006107.30
026.04;589984.46;018874.63;006097.17
026.88;589375.60;019483.49;006087.05
027.72;588766.74;020092.35;006076.94
028.56;588157.88;020701.21;006066.84
029.40;587549.02;021310.07;006056.76
030.24;586940.16;021918.93;006046.68
031.08;586331.30;022527.79;006036.63
031.92;585722.44;023136.65;006026.58
032.76;585113.58;023745.50;006016.55
033.60;584504.73;024354.36;006006.52
034.44;583895.87;024963.22;005996.52
035.28;583287.01;025572.08;005986.52
036.12;582678.15;026180.94;005976.54
036.96;582069.29;026789.80;005966.56
037.80;581460.43;027398.66;005956.61
038.64;580851.57;028007.52;005946.66
039.48;580242.71;028616.38;005936.73
040.32;579633.85;029225.24;005926.80
041.16;579024.99;029834.10;005916.89
042.00;578416.13;030442.95;005907.00
042.84;577807.28;031051.81;005897.11
043.68;577198.42;031660.67;005887.24
044.52;576589.56;032269.53;005877.38
045.36;575980.70;032878.39;005867.53
046.20;575371.84;033487.25;005857.70
047.04;574762.98;034096.11;005847.87
047.88;574154.12;034704.97;005838.06
048.72;573545.26;035313.83;005828.26
049.56;572936.40;035922.69;005818.48
050.40;572327.54;036531.55;005808.70
051.24;571718.68;037140.40;005798.94
052.08;571109.83;037749.26;005789.19
052.92;570500.97;038358.12;005779.45
053.76;569892.11;038966.98;005769.72
054.60;569283.25;039575.84;005760.01
055.44;568674.39;040184.70;005750.30
056.28;568065.53;040793.56;005740.61
057.12;567456.67;041402.42;005730.93
057.96;566847.81;042011.28;005721.27
058.80;566238.95;042620.14;005711.61
059.64;565630.09;043229.00;005701.97
060.48;565021.23;043837.85;005692.34
061.32;564412.38;044446.71;005682.72
062.16;563803.52;045055.57;005673.11
063.00;563194.66;045664.43;005663.51
063.84;562585.80;046273.29;005653.93
064.68;561976.94;046882.15;005644.36
065.52;561368.08;047491.01;005634.79
066.36;560759.22;048099.87;005625.24
067.20;560150.36;048708.73;005615.71
068.04;559541.50;049317.59;005606.18
068.88;558932.64;049926.45;005596.67
069.72;558323.78;050535.30;005587.16
070.56;557714.93;051144.16;005577.67
071.40;557106.07;051753.02;005568.19
072.24;556497.21;052361.88;005558.72
073.08;555888.35;052970.74;005549.27
073.92;555279.49;053579.60;005539.82
074.76;554670.63;054188.46;005530.39
075.60;554061.77;054797.32;005520.97
076.44;553452.91;055406.18;005511.56
077.28;552844.05;056015.04;005502.16
078.12;552235.19;056623.90;005492.77
078.96;551626.33;057232.75;005483.39
079.80;551017.48;057841.61;005474.03
080.64;550408.62;058450.47;005464.67
081.48;549799.76;059059.33;005455.33
082.32;549190.90;059668.19;005446.00
083.16;548582.04;060277.05;005436.68
084.00;547973.18;060885.91;005427.37
084.84;547364.32;061494.77;005418.07
085.68;546755.46;062103.63;005408.78
086.52;546146.60;062712.49;005399.51
087.36;545537.74;063321.35;005390.25
088.20;544928.88;063930.20;005380.99
089.04;544320.03;064539.06;005371.75
089.88;543711.17;065147.92;005362.52
090.72;543102.31;065756.78;005353.30
091.56;542493.45;066365.64;005344.09
092.40;541884.59;066974.50;005334.89
093.24;541275.73;067583.36;005325.71
094.08;540666.87;068192.22;005316.53
094.92;540058.01;068801.08;005307.37
095.76;539449.15;069409.94;005298.21
096.60;538840.29;070018.80;005289.07
097.44;538231.43;070627.65;005279.94
098.28;537622.58;071236.51;005270.82
099.12;537013.72;071845.37;005261.71
099.96;536404.86;072454.23;005252.61
100.80;535796.00;073063.09;005243.52
101.64;535187.14;073671.95;005234.44
102.48;534578.28;074280.81;005225.38
103.32;533969.42;074889.67;005216.32
104.16;533360.56;075498.53;005207.27
105.00;532751.70;076107.39;005198.24
105.84;532142.84;076716.25;005189.22
106.68;531533.98;077325.10;005180.20
107.52;530925.13;077933.96;005171.20
108.36;530316.27;078542.82;005162.21
109.20;529707.41;079151.68;005153.23
110.04;529098.55;079760.54;005144.26
110.88;528489.69;080369.40;005135.30
111.72;527880.83;080978.26;005126.35
112.56;527271.97;081587.12;005117.41
113.40;526663.11;082195.98;005108.48
114.24;526054.25;082804.84;005099.57
115.08;525445.39;083413.70;005090.66
115.92;524836.53;084022.55;005081.76
116.76;524227.68;084631.41;005072.88
117.60;523618.82;085240.27;005064.00
118.44;523009.96;085849.13;005055.14
119.28;522401.10;086457.99;005046.28
120.12;521792.24;087066.85;005037.44
120.96;521183.38;087675.71;005028.60
121.80;520574.52;088284.57;005019.78
122.64;519965.66;088893.43;005010.97
